id,category_id,name,description,price,stock
1,1,ЂЄгбвЁзҐбЄ п ЈЁв а  Yamaha F310,Ќ ¤с¦­ п Ўо¤¦Ґв­ п  ЄгбвЁЄ ,12000.00,5
2,1,ќ«ҐЄва®ЈЁв а  Fender Stratocaster,‹ҐЈҐ­¤ а­ п ¬®¤Ґ«м,55000.00,2
3,2,‘®Їа ­®-д«Ґ©в  Gemeinhardt,„«п ­ зЁ­ ойЁе Ё Їа®дЁ,8000.00,4
4,3,Љ« ббЁзҐбЄ п бЄаЁЇЄ  4/4,"Џ®«­л© а §¬Ґа, б Є®¬Ї«ҐЄв®¬ б¬лзЄ ",25000.00,3
5,1,Акустическая гитара Yamaha F310,Надёжная бюджетная акустика,12000.00,5
6,1,Электрогитара Fender Stratocaster,Легендарная модель,55000.00,2
7,2,Сопрано-флейта Gemeinhardt,Для начинающих и профи,8000.00,4
8,3,Классическая скрипка 4/4,"Полный размер, с комплектом смычка",25000.00,3
9,1,Акустическая гитара Yamaha F310,Надёжная бюджетная акустика,12000.00,5
10,1,Электрогитара Fender Stratocaster,Легендарная модель,55000.00,2
11,2,Сопрано-флейта Gemeinhardt,Для начинающих и профи,8000.00,4
12,3,Классическая скрипка 4/4,"Полный размер, с комплектом смычка",25000.00,3
